Country;2015;2016;2017;2018;2019;2020;2021
Argentina; 2.962.641 ; 2.999.726 ; 3.037.647 ; 3.039.550 ; 2.998.421 ; 2.822.443 ; 2.795.251 
Bolivia; 324.023 ; 331.238 ; 332.637 ; 333.432 ; 336.532 ; 335.048 ; 337.521 
Brasil; 7.317.797 ; 7.342.793 ; 7.222.186 ; 7.261.209 ; 7.244.243 ; 6.819.076 ; 6.724.624 
Chile; 2.283.211 ; 2.301.863 ; 2.278.644 ; 2.298.292 ; 2.332.442 ; 2.195.550 ; 2.178.736 
Colombia;;;; 2.200.095 ; 2.227.693 ; 2.186.717 ; 2.180.476 
CR; 97.738 ; 98.302 ; 97.059 ; 99.137 ; 98.197 ; 100.811 ; 101.484 
Ecuador; 1.149.385 ; 1.133.854 ; 1.139.675 ; 1.146.102 ; 1.142.055 ; 981.656 ; 952.791 
Mexico; 3.718.429 ; 3.778.492 ; 3.864.489 ; 3.974.283 ; 3.930.053 ; 3.699.397 ; 3.696.372 
Panama; 125.852 ; 111.963 ; 121.158 ; 120.188 ; 119.935 ; 104.404 ; 101.739 
Peru; 2.246.927 ; 2.266.630 ; 2.245.395 ; 2.153.973 ; 2.202.528 ; 2.013.260 ; 1.970.658 
